 ,"Employment: by employment status, by economic activity",,,,,,,,,,"GDP deflators: by expenditure components",,,,,,,"Unit labour cost: by economic activity",,,,,,,"Hourly labour cost: by components and by economic activity",,,,,,,"Exchange rates: effective exchange rates","US and Japan: main economic and financial indicators",,,,,,,,,,,,,,,,,,,,,,,"Industry and commodity prices: by type of goods and by industry","GDP: by expenditure components at current prices",,,,,,,"GDP: by expenditure components at constant prices",,,,,,,"Value added: by economic activity at current prices",,,,,,,,,"Value added: by economic activity, chain-linked volumes",,,,,,,,,"Confidence indicators: economic, manufacturing, consumer, construction, retail trade, services","Value added: by economic activity at current prices (NACE Rev2)",,,,,,"Value added: by economic activity, chain-linked volumes (NACE Rev2)",,,,,,"Employment: by economic activity (NACE Rev2)",,,,,,"Unit labour cost: by economic activity (NACE Rev2)",,,,,,
Name:,ESA.Q.I6.Y.1000.TOTEMP.0000.TTTT.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.TTTT.N.P.A,ESA.Q.I6.N.1000.EMPLOY.0000.TTTT.N.P.A,ESA.Q.I6.N.1000.SELFEM.0000.TTTT.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2A_A.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2B_E.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2F_F.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2G_I.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.YJ_K.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.YL_P.N.P.A,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.D.U.I,ESA.Q.I6.Y.1000.P30_50.0000.TTTT.D.U.I,ESA.Q.I6.Y.1415.P31000.0000.TTTT.D.U.I,ESA.Q.I6.Y.1300.P30000.0000.TTTT.D.U.I,ESA.Q.I6.Y.1000.P51000.0000.TTTT.D.U.I,ESA.Q.I6.Y.2000.P60000.0000.TTTT.D.U.I,ESA.Q.I6.Y.0000.P70000.2000.TTTT.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.TTTT.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2A_A.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2B_E.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2F_F.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2G_I.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.YJ_K.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.YL_P.D.U.I,STS.Q.I6.Y.LCIT.NS0025.4.000,STS.Q.I6.W.LCIT.NS0025.4.000,STS.Q.I6.W.LCIW.NS0025.4.000,STS.Q.I6.W.LCIO.NS0025.4.000,STS.Q.I6.W.LCIT.NS0020.4.000,STS.Q.I6.W.LCIT.2F0000.4.000,STS.Q.I6.W.LCIT.2G_N00.4.000,EXR.Q.Z64.EUR.ERU1.A,BISM.Q.VPNB.US.01,BISM.Q.RHGB.US.01,GST.Q.US.N.B1300.DEF.B0000.CU.G,GST.Q.US.N.B0X13.MAL.B1300.SA.G,BISM.Q.RHGB.JP.01,MUFA.Q.US.N.B8G.G.X.US.1000.Z5.ZZZZ.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.1000.M.R,MUFA.Q.US.N.BIC.G.X.US.1000.A1.1000.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.11US.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.11US.M.R,MUFA.Q.US.N.B8G.G.X.US.11US.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.11US.A1.1000.M.R,MUFA.Q.US.N.P5C.G.X.Z5.ZZZZ.US.1415.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.1415.M.R,MUFA.Q.US.N.B8C.G.X.US.1415.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.1415.A1.1000.M.R,MUFA.Q.JP.N.B8G.G.X.JP.1000.Z5.ZZZZ.M.J,MUFA.Q.JP.N.P50.G.X.Z5.ZZZZ.JP.1000.M.J,MUFA.Q.JP.N.BIC.G.X.JP.1000.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1100.M.J,MUFA.Q.JP.N.T00.G.X.JP.1100.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1415.M.J,MUFA.Q.JP.N.T00.G.X.JP.1415.A1.1000.M.J,STS.Q.I6.N.CINP.CC1109.4.000,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.V.U.A,ESA.Q.I6.Y.1415.P31000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1300.P30000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1000.P51000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1000.P52_53.0000.TTTT.V.U.A,ESA.Q.I6.Y.2000.P60000.0000.TTTT.V.U.A,ESA.Q.I6.Y.0000.P70000.2000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A,ESA.Q.I6.Y.1415.P31000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1300.P30000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1000.P51000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1000.P52_53.0000.TTTT.L.U.A,ESA.Q.I6.Y.2000.P60000.0000.TTTT.L.U.A,ESA.Q.I6.Y.0000.P70000.2000.TTTT.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2A_A.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2B_E.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2F_F.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2G_I.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YJ_K.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YL_P.V.U.A,ESA.Q.I6.Y.0000.P11900.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.D21X31.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.TTTT.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2A_A.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2B_E.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2F_F.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2G_I.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YJ_K.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YL_P.L.U.A,ESA.Q.I6.Y.0000.P11900.1000.TTTT.L.U.A,ESA.Q.I6.Y.0000.D21X31.1000.TTTT.L.U.A,SUR.Q.I6.S.ECFIN.MAN013.TT,ESA.Q.I6.Y.0000.B1G000.1000.2J_J.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2K_K.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2L_L.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2M_N.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2O_Q.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2R_U.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2J_J.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2K_K.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2L_L.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2M_N.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2O_Q.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.2R_U.L.U.A,ESA.Q.I6.N.1000.TOTEMP.0000.2J_J.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2K_K.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2L_L.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2M_N.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2O_Q.N.P.A,ESA.Q.I6.N.1000.TOTEMP.0000.2R_U.N.P.A,ESA.Q.I6.Y.1000.UNLACO.0000.2J_J.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2K_K.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2L_L.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2M_N.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2O_Q.D.U.I,ESA.Q.I6.Y.1000.UNLACO.0000.2R_U.D.U.I
Q2-1983      ,117559.79111           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6072.40000 , -5.39601 ,41.25879           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q3-1983      ,117689.18244           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6192.20000 , -5.88219 ,41.93719           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q4-1983      ,117655.02313           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6320.20000 , -5.21678 ,41.96367           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q1-1984      ,117544.26415           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6442.80000 , -4.56217 ,42.24074           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q2-1984      ,117357.94063           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6554.00000 , -4.59770 ,42.13689           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q3-1984      ,117523.56153           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6617.70000 , -4.92958 ,42.84311           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q4-1984      ,117646.74208           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6671.60000 , -5.26525 ,43.64619           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA       ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q1-1985      ,117759.57133           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6734.50000 , -4.34761 ,44.21318           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,79.10000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q2-1985      ,118050.44305           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6791.50000 , -5.69246 ,44.91594           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,80.10000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q3-1985      ,118329.92833           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6897.60000 , -5.10532 ,45.72175           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,80.50000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q4-1985      ,118639.43240           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 6950.00000 , -5.27937 ,47.72540           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,80.70000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q1-1986      ,119048.30902           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 7016.80000 , -5.02236 ,47.80716           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,80.90000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q2-1986      ,119391.97241           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 7045.00000 , -5.51411 ,48.33843           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,81.20000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q3-1986      ,119875.37843           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 7112.90000 , -5.84463 ,49.36604           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,81.30000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q4-1986      ,120419.85717           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 7147.30000 , -5.00517 ,50.34941           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,81.40000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q1-1987      ,120649.65618           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 98.00000 , 7186.90000 , -5.25905 ,50.31879           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,81.20000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
Q2-1987      ,121064.74358           ,NA           ,NA          ,NA         ,NA          ,NA          ,NA          ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA ,NA ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA , 96.80000 , 7263.30000 , -3.82785 ,50.55236           ,NA       ,NA       ,NA       ,NA      ,NA       ,NA      ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA       ,NA      ,NA        ,NA        ,NA        ,NA       ,NA        ,NA            ,NA            ,NA           ,NA           ,NA           ,NA            ,NA            ,NA            ,NA            ,NA           ,NA           ,NA ,NA           ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA            ,NA          ,NA           ,NA           ,NA           ,NA ,NA ,NA ,NA           ,NA ,81.10000          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA          ,NA           ,NA           ,NA           ,NA           ,NA          ,NA         ,NA         ,NA         ,NA          ,NA          ,NA          ,NA        ,NA        ,NA        ,NA        ,NA        ,NA        ,NA
